name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
fresno,2023-10-01T00:00:00,15.6,15.6,10,69.18,0,0,,0,0,16.6,14.2,329,1008.8,86.3,16,1,0,0,10,Partially cloudy,partly-cloudy-night,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T01:00:00,14.3,14.3,9.9,75.29,0,0,,0,0,14.8,9.2,329,1009,87.1,16,1,0,0,10,Partially cloudy,partly-cloudy-night,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T02:00:00,14.3,14.3,10,75.41,0,0,,0,0,13,5.5,342,1009.2,87.3,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T03:00:00,14.2,14.2,10,75.6,0,0,,0,0,11.2,0.3,3,1009.2,86.3,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T04:00:00,14.2,14.2,10,75.65,0,0,,0,0,9.4,0.2,5,1009.3,52.2,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T05:00:00,13.3,13.3,10,80.34,0,0,,0,0,7.6,5.1,282,1009.6,52.5,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T06:00:00,13.4,13.4,10.1,80.29,0,0,,0,0,9.4,5.3,256,1009.9,52.5,16,2,0,0,10,Partially cloudy,partly-cloudy-night,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T07:00:00,13.4,13.4,10,80.32,0,0,,0,0,7.6,0,0,1010.4,52.2,16,70,0.3,1,10,Partially cloudy,partly-cloudy-day,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T08:00:00,13.9,13.9,10.7,81,0,0,,0,0,7.6,5.1,78,1011.3,52.2,16,181,0.7,2,10,Partially cloudy,partly-cloudy-day,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T09:00:00,15.1,15.1,10.1,71.97,0,0,,0,0,9.4,10.9,159,1011.9,52.5,16,391,1.4,4,10,Partially cloudy,partly-cloudy-day,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T10:00:00,16.7,16.7,10.7,67.56,0,0,,0,0,9.4,10.8,128,1012.3,52.2,16,457,1.6,5,10,Partially cloudy,partly-cloudy-day,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T11:00:00,17.9,17.9,11.2,64.83,0,0,,0,0,9.4,12.6,184,1012.3,87.1,16,608,2.2,6,10,Partially cloudy,partly-cloudy-day,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T12:00:00,19.4,19.4,11.2,59.17,0,0,,0,0,11.2,3.2,134,1012.1,88.9,16,650,2.3,7,10,Partially cloudy,partly-cloudy-day,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T13:00:00,20.1,20.1,11.2,56.6,0,0,,0,0,14.8,7.7,222,1012,87.8,16,460,1.7,5,10,Partially cloudy,partly-cloudy-day,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T14:00:00,21.2,21.2,10.7,51.14,0,0,,0,0,16.6,5.5,212,1011.3,88.9,16,530,1.9,5,10,Partially cloudy,partly-cloudy-day,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T15:00:00,22.9,22.9,10.1,44.27,0,0,,0,0,16.6,9.3,280,1011.2,49.3,16,640,2.3,6,10,Partially cloudy,partly-cloudy-day,"KMAE,74504693242,74702023110,KNLC,E7937,KFAT,72389093193"
fresno,2023-10-01T16:00:00,23.4,23.4,9.4,41.15,0,0,,0,0,16.6,9.4,327,1010.8,87.1,16,309,1.1,3,10,Partially cloudy,partly-cloudy-day,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T17:00:00,23.3,23.3,9.4,41.19,0,0,,0,0,14.8,9.3,254,1011,86.3,16,98,0.4,1,10,Partially cloudy,partly-cloudy-day,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T18:00:00,22.2,22.2,10,46.05,0,0,,0,0,13,12.7,270,1011.4,86.3,16,30,0.1,0,10,Partially cloudy,partly-cloudy-day,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
fresno,2023-10-01T19:00:00,21.1,21.1,10,49.22,0,0,,0,0,9.4,12.6,299,1011.8,86.3,16,1,0,0,10,Partially cloudy,partly-cloudy-night,"CI080,KMAE,74504693242,74702023110,KNLC,KFAT,72389093193"
